,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
7,PG10007,Carmilla,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],4649,"{'Vampires -- Fiction', 'Young women -- Fiction'}",
13,PG10012,The Mountains of California,"Muir, John",1838.0,1914.0,['en'],82,"{'Natural history -- California', 'Naturalists -- United States -- Biography', 'California -- Description and travel', 'Sierra Nevada (Calif. and Nev.)', 'Mountain ecology -- California', 'Natural history -- Sierra Nevada (Calif. and Nev.)', 'Muir, John, 1838-1914 -- Travel -- Sierra Nevada (Calif. and Nev.)', 'Mountain ecology -- Sierra Nevada (Calif. and Nev.)'}",
21,PG1001,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],2889,"{'Italian poetry -- To 1400 -- Translations into English', 'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English'}",
32,PG1002,"Divine Comedy, Longfellow's Translation, Purgatory",Dante Alighieri,1265.0,1321.0,['en'],59,"{'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'}",
34,PG10031,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809.0,1849.0,['en'],444,"{'Fantasy poetry, American'}",
42,PG10039,"The Works of Aphra Behn, Volume III","Behn, Aphra",1640.0,1689.0,['en'],61,{'English drama -- 17th century'},
43,PG1003,"Divine Comedy, Longfellow's Translation, Paradise",Dante Alighieri,1265.0,1321.0,['en'],81,"{'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'}",
54,PG1004,"Divine Comedy, Longfellow's Translation, Complete",Dante Alighieri,1265.0,1321.0,['en'],857,"{'Italian poetry -- To 1400 -- Translations into English', 'Epic poetry, Italian -- Translations into English'}",
57,PG10052,"The Open Door, and the Portrait.: Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828.0,1897.0,['en'],88,{'Manners and customs -- Fiction'},
65,PG1005,"Divine Comedy, Cary's Translation, Hell",Dante Alighieri,1265.0,1321.0,['en'],31,"{'Italian poetry -- To 1400 -- Translations into English', 'Hell -- Poetry', 'Epic poetry, Italian -- Translations into English'}",
77,PG10070,Stories of Great Americans for Little Americans,"Eggleston, Edward",1837.0,1902.0,['en'],148,{'United States -- Biography -- Juvenile literature'},
110,PG100,The Complete Works of William Shakespeare,"Shakespeare, William",1564.0,1616.0,['en'],3448,"{'English drama -- Early modern and Elizabethan, 1500-1600'}",
122,PG10110,The Postmaster's Daughter,"Tracy, Louis",1863.0,1928.0,['en'],41,"{'Detective and mystery stories', 'Villages -- England -- Fiction'}",
154,PG1013,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],238,"{'Moon -- Fiction', 'Utopias -- Fiction', 'Science fiction', 'Imperialism -- Fiction', 'Satire', 'Space flight to the moon -- Fiction', 'Utopian fiction'}",
155,PG10140,Rhetoric and Poetry in the Renaissance: A Study of Rhetorical Terms in English Renaissance Literary Criticism,"Clark, Donald Lemen",1888.0,1966.0,['en'],137,"{'Rhetoric -- Terminology', 'English language -- Early modern, 1500-1700 -- Terms and phrases', 'Poetry -- History and criticism', 'Criticism -- Great Britain -- History -- 17th century', 'Criticism -- Great Britain -- History -- 16th century', 'Renaissance'}",
165,PG1014,The Lure of the Dim Trails,"Bower, B. M.",1871.0,1940.0,['en'],55,"{'Cowboys -- Fiction', 'Western stories'}",
166,PG10150,Dracula's Guest,"Stoker, Bram",1847.0,1912.0,['en'],759,"{'Short stories', 'Gothic fiction', 'Horror tales'}",
176,PG1015,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis",1823.0,1893.0,['en'],411,"{'Frontier and pioneer life -- West (U.S.)', 'West (U.S.) -- History -- To 1848', 'Parkman, Francis, 1823-1893 -- Travel -- West (U.S.)', 'Oregon National Historic Trail', 'Indians of North America -- West (U.S.)', 'West (U.S.) -- Description and travel', 'California National Historic Trail'}",
198,PG1017,The Soul of Man under Socialism,"Wilde, Oscar",1854.0,1900.0,['en'],372,{'Socialism'},
209,PG1018,The Water-Babies,"Kingsley, Charles",1819.0,1875.0,['en'],366,"{'Fairy tales -- England', 'Chimney sweeps -- Juvenile fiction'}",
220,PG1019,"Poems by Currer, Ellis, and Acton Bell","Brontë, Anne",1820.0,1849.0,['en'],276,{'English poetry -- 19th century'},
254,PG1022,Walking,"Thoreau, Henry David",1817.0,1862.0,['en'],578,"{'Essays', 'Walking', 'Nature'}",
276,PG1024,The Wrecker,"Osbourne, Lloyd",1868.0,1947.0,['en'],92,"{'Shipwrecks -- Fiction', 'Avarice -- Fiction', 'Treasure troves -- Fiction'}",
298,PG1026,The Diary of a Nobody,"Grossmith, George",1847.0,1912.0,['en'],425,"{'Humorous stories', 'Men -- England -- Fiction', 'England -- Fiction', 'Diary fiction', 'Middle class -- Fiction', 'Suburban life -- Fiction'}",
309,PG1027,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872.0,1939.0,['en'],167,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",
320,PG1028,The Professor,"Brontë, Charlotte",1816.0,1855.0,['en'],370,"{'Love stories', 'Women teachers -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Belgium -- Social life and customs -- 19th century -- Fiction', 'British -- Belgium -- Fiction', 'Brussels (Belgium) -- Fiction'}",
332,PG102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835.0,1910.0,['en'],1137,"{'Infants switched at birth -- Fiction', 'Trials (Murder) -- Fiction', 'Impostors and imposture -- Fiction', 'Legal stories', 'Passing (Identity) -- Fiction', 'Missouri -- Fiction', 'Race relations -- Fiction'}",
354,PG1031,"Charmides, and Other Poems","Wilde, Oscar",1854.0,1900.0,['en'],90,{'Poetry'},
365,PG1032,The Pupil,"James, Henry",1843.0,1916.0,['en'],163,{'Fiction'},
366,PG10330,Fruitfulness,"Zola, Émile",1840.0,1902.0,['en'],90,{'French fiction -- Translations into English'},
375,PG10339,An Antarctic Mystery,"Verne, Jules",1828.0,1905.0,['en'],224,{'Antarctica -- Discovery and exploration -- Fiction'},
382,PG10345,Domestic Manners of the Americans,"Trollope, Frances Milton",1780.0,1863.0,['en'],178,"{'United States -- Social life and customs -- 1783-1865', 'United States -- Social conditions -- To 1865', 'Trollope, Frances Milton, 1780-1863 -- Travel -- United States', 'United States -- Description and travel'}",
406,PG10367,Poems,"Carr, John, Sir",1772.0,1832.0,['en'],7,{'Poetry'},
409,PG1036,Joe Wilson and His Mates,"Lawson, Henry",1867.0,1922.0,['en'],60,"{'Frontier and pioneer life -- Australia -- Fiction', 'Australia -- Fiction', 'Historical fiction'}",
413,PG10373,The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863.0,1935.0,['en'],114,{'Detective and mystery stories'},
431,PG1038,Style,"Raleigh, Walter Alexander, Sir",1861.0,1922.0,['en'],65,"{'Style, Literary'}",
443,PG103,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,['en'],4936,"{'Adventure stories', 'Voyages around the world -- Fiction'}",
465,PG1041,Shakespeare's Sonnets,"Shakespeare, William",1564.0,1616.0,['en'],900,"{'Sonnets, English', 'English poetry'}",
498,PG1044,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835.0,1910.0,['en'],199,"{'Ship captains -- Fiction', 'Voyages, Imaginary', 'Satire', 'Heaven -- Fiction', 'Religious fiction'}",
502,PG10453,A Practical Physiology: A Text-Book for Higher Schools,"Blaisdell, Albert F. (Albert Franklin)",1847.0,1927.0,['en'],85,"{'Physiology', 'Human physiology'}",
509,PG1045,Venus and Adonis,"Shakespeare, William",1564.0,1616.0,['en'],141,"{'Venus (Roman deity) -- Poetry', 'Adonis (Greek deity) -- Poetry'}",
520,PG1046,"God, the Invisible King","Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],103,{'God (Christianity)'},
531,PG1047,The New Machiavelli,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],265,"{'Adultery -- Fiction', 'Man-woman relationships -- Fiction', 'Political fiction', 'Great Britain -- Politics and government -- Fiction'}",
542,PG1048,The Ruling Passion: Tales of Nature and Human Nature,"Van Dyke, Henry",1852.0,1933.0,['en'],22,"{'Short stories, American', 'Fiction'}",
546,PG10493,The Old Bush Songs,,,,['en'],91,"{'Songs, English -- Australia', 'Australian poetry'}",
596,PG10538,Hyacinth,"Birmingham, George A.",1865.0,1950.0,['en'],78,"{'Ireland -- Fiction', 'Young men -- Fiction'}",
598,PG1053,Within the Tides: Tales,"Conrad, Joseph",1857.0,1924.0,['en'],67,"{'Fiction', 'Short stories, English'}",
609,PG1054,A Collection of Ballads,"Lang, Andrew",1844.0,1912.0,['en'],33,"{'Ballads, Scots -- Scotland -- Texts'}",
612,PG10552,Roy Blakeley: His Story,"Fitzhugh, Percy Keese",1876.0,1950.0,['en'],10,{'Boy Scouts of America -- Juvenile fiction'},
613,PG10553,The first New Testament printed in English,,,,['en'],177,{'Bible. New Testament'},
620,PG1055,'Twixt Land & Sea: Tales,"Conrad, Joseph",1857.0,1924.0,['en'],77,"{'Indian Ocean -- Fiction', 'Ship captains -- Fiction'}",
631,PG1056,Martin Eden,"London, Jack",1876.0,1916.0,['en'],800,"{'Autobiographical fiction', 'San Francisco (Calif.) -- Fiction', 'Working class -- Fiction', 'Bildungsromans', 'Authors -- Fiction', 'Young men -- Fiction'}",
635,PG10573,"Ship's Company, the Entire Collection","Jacobs, W. W. (William Wymark)",1863.0,1943.0,['en'],25,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}",
642,PG1057,"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",1854.0,1900.0,['en'],665,"{'Poetry', 'Prisons -- Poetry'}",
653,PG1058,The Mirror of the Sea,"Conrad, Joseph",1857.0,1924.0,['en'],154,"{'Conrad, Joseph, 1857-1924 -- Travel', 'Seafaring life'}",
664,PG1059,The World Set Free,"Wells, H. G. (Herbert George)",1866.0,1946.0,['en'],551,"{'Imaginary wars and battles -- Fiction', 'War stories', 'Nuclear warfare -- Fiction'}",
676,PG1060,Grass of Parnassus,"Lang, Andrew",1844.0,1912.0,['en'],19,{'Poetry'},
682,PG10615,"An Essay Concerning Humane Understanding, Volume 1: MDCXC, Based on the 2nd Edition, Books 1 and 2","Locke, John",1632.0,1704.0,['en'],1744,"{'Knowledge, Theory of -- Early works to 1800'}",
692,PG10624,Three John Silence Stories,"Blackwood, Algernon",1869.0,1951.0,['en'],110,"{'Silence, John (Fictitious character) -- Fiction', 'Horror tales, English', 'Detective and mystery stories, English', 'Supernatural -- Fiction', 'Psychics -- Fiction', 'Ghost stories, English', 'Paranormal fiction, English'}",
693,PG10625,A Concise Dictionary of Middle English from A.D. 1150 to 1580,"Skeat, Walter W. (Walter William)",1835.0,1912.0,['en'],274,"{'English language -- Middle English, 1100-1500 -- Dictionaries'}",
705,PG10636,The Travels of Marco Polo — Volume 1,"Polo, Marco",1254.0,1324.0,['en'],682,"{'Polo, Marco, 1254-1323?', 'Mongols -- History', 'Voyages and travels', 'Asia -- Description and travel -- Early works to 1800'}",
731,PG1065,The Raven,"Poe, Edgar Allan",1809.0,1849.0,['en'],312,"{'Ravens -- Poetry', 'Fantasy poetry, American'}",
739,PG10667,Snake and Sword: A Novel,"Wren, Percival Christopher",1885.0,1941.0,['en'],28,{'British -- India -- Fiction'},
742,PG1066,William the Conqueror,"Freeman, Edward A. (Edward Augustus)",1823.0,1892.0,['en'],84,"{'Normans -- Great Britain -- Biography', 'Great Britain -- History -- William I, 1066-1087', 'William I, King of England, 1027 or 8-1087', 'Great Britain -- Kings and rulers -- Biography'}",
745,PG10672,"Game and Playe of the Chesse: A Verbatim Reprint of the First Edition, 1474","Caxton, William",,1491.0,['en'],153,{'Chess -- Early works to 1800'},
775,PG1069,Four Short Stories By Emile Zola,"Zola, Émile",1840.0,1902.0,['en'],352,"{'Short stories', 'France -- Social life and customs -- Fiction'}",
797,PG10720,Doctor Pascal,"Zola, Émile",1840.0,1902.0,['en'],48,{'France -- Social life and customs -- 19th century -- Fiction'},
838,PG1075,The Strength of the Strong,"London, Jack",1876.0,1916.0,['en'],130,{'Socialism -- Fiction'},
845,PG10766,Enquire Within Upon Everything: The Great Victorian Domestic Standby,"Philp, Robert Kemp",1819.0,1882.0,['en'],253,"{'Handbooks, vade-mecums, etc.'}",
849,PG1076,The Wallet of Kai Lung,"Bramah, Ernest",1867.0,1942.0,['en'],87,"{'Kai Lung (Fictitious character) -- Fiction', 'Fantasy fiction'}",
860,PG1077,The Mirror of Kong Ho,"Bramah, Ernest",1867.0,1942.0,['en'],23,"{'Chinese -- England -- Fiction', 'England -- Fiction', 'Humorous stories', 'Epistolary fiction'}",
871,PG1078,The Scouts of the Valley,"Altsheler, Joseph A. (Joseph Alexander)",1862.0,1919.0,['en'],36,"{'Historical fiction', 'Wyoming Valley (Pa.) -- Fiction', 'Chemung River Valley (N.Y. and Pa.) -- Fiction'}",
875,PG10793,Sailors' Knots (Entire Collection),"Jacobs, W. W. (William Wymark)",1863.0,1943.0,['en'],76,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}",
882,PG1079,"The Life and Opinions of Tristram Shandy, Gentleman","Sterne, Laurence",1713.0,1768.0,['en'],1026,"{'Fiction -- Authorship -- Fiction', 'Stream of consciousness fiction', 'Experimental fiction', 'Fetus -- Fiction', 'Infants -- Fiction'}",
883,PG107,Far from the Madding Crowd,"Hardy, Thomas",1840.0,1928.0,['en'],1024,"{'Women farmers -- Fiction', 'Wessex (England) -- Fiction', 'Love stories', 'Didactic fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Farm life -- Fiction'}",
884,PG10800,The Anatomy of Melancholy,"Burton, Robert",1577.0,1640.0,['en'],1640,{'Melancholy -- Early works to 1800'},
905,PG1081,Dead Souls,"Gogol, Nikolai Vasilevich",1809.0,1852.0,['en'],1481,"{'Swindlers and swindling -- Russia -- Fiction', 'Satire', 'Humorous stories', 'Russia -- Social life and customs -- 1533-1917 -- Fiction'}",
913,PG10827,Discourses on the First Decade of Titus Livius,"Machiavelli, Niccolò",1469.0,1527.0,['en'],383,"{'Political science -- Early works to 1800', 'Rome -- Historiography', 'Livy. Ab urbe condita'}",
927,PG1083,The Arrow of Gold: A Story Between Two Notes,"Conrad, Joseph",1857.0,1924.0,['en'],55,"{'Marseille (France) -- Fiction', 'Sea stories', 'Illegal arms transfers -- Fiction', 'Adventure stories', 'Young men -- Fiction'}",
951,PG10861,"Paris under the Commune: The Seventy-Three Days of the Second Siege; with Numerous Illustrations, Sketches Taken on the Spot, and Portraits (from the Original Photographs)","Leighton, John",1822.0,1912.0,['en'],122,"{'Paris (France) -- History -- Commune, 1871'}",
960,PG1086,A Horse's Tale,"Twain, Mark",1835.0,1910.0,['en'],144,{'Fiction'},
967,PG10876,"At Sunwich Port, Complete","Jacobs, W. W. (William Wymark)",1863.0,1943.0,['en'],24,"{'Ship captains -- Fiction', 'Fathers and sons -- Fiction', 'Family -- England -- Fiction', 'Betrothal -- Fiction'}",
982,PG1088,Rolf in the Woods,"Seton, Ernest Thompson",1860.0,1946.0,['en'],58,"{'Camping -- Fiction', 'Scouts (Reconnaissance) -- Fiction', 'Indians of North America -- Fiction', 'Scouting (Reconnaissance) -- Fiction'}",
