perfians,persians
ambaffador,ambassador
atkinfon,atkinson
criticifin,criticism 
yeflerday,yesterday
holinefs,holiness
wifdorn,wisdom
minifiers,ministers
parfons,parsons
houfes,houses
hiflorv,history
drcadful,dreadful
witnefs,witness
obferve,observe
horfe,horse
weftminfler,westminster
romifh,romish
chriflopher,christopher
hiflory,history
ifaac,isaac
caftle,castle
japanefe,japanese
fubjects,subjects
baftille,bastille
proteflants,protestants
derbyfhire,derbyshire
burgefs,burgess
duchefs,duchess
meafure,measure
blackftone,blackstone
congrefs,congress
dilpofition,disposition
himnfelf,himself
paterfon,paterson
miniflers,ministers
inftruction,instruction
myfeif,myself
lincolnfhire,lincolnshire
himfilf,himself
repofitory,repository
fuccefi,success
guftavus,gustavus
pleafure,pleasure
congrefi,congress
philofophv,philosophy
juffice,justice
fpacc,space
fucccfs,success
haftings,hastings
philofophy,philosophy
fuficient,sufficient
eftablilhment,establishment
bulinefs,business
confution,confusion
elifabeth,elisabeth
refirain,restrain
difterent,different
lavoifier,lavoisier
hudfon,hudson
shrewfbury,shrewsbury
caftile,castile
anderfon,anderson
epifiles,epistles
mafon,mason
jofeph,joseph
mifcellaneous,miscellaneous
briftol,bristol
fubjeit,subject
conftitution,constitution
crofs,cross
britifli,british
herfeif,herself
firongeft,strongest
hiinfelf,himself
irifh,irish
anfwers,answers
confiderabie,considerable
marfhall,marshall
simpfon,simpson
lrifh,irish
glafgow,glasgow
jerfeys,jerseys
ariofto,ariosto
hampfhire,hampshire
majefiy,majesty
greatefi,greatest
robinfon,robinson 
beaft,beast
greateff,greatest
meafures,measures
chriffian,christian
fubfeription,subscription
indufiry,industry
wafhington,washington
shakfpeare,shakespeare
poffefflon,possession
manchefler,manchester
chriftianity,christianity
eufebius,eusebius
polfibly,possibly
leicefter,leicester
yeflcrday,yesterday
conflitutional,constitutional
affociation,association
pleafures,pleasures
confequently,consequently
henderfon,henderson
prieftley,priestley
firuggle,struggle
ruflians,russians
obfeurity,obscurity
reafon,reason
conflitution,constitution
chrift,christ
expreffied,expressed
ifraelites,israelites
seafons,seasons
adminiftration,adminstration
neceffiary,necessary
inflitutions,institutions
guernfey,guernsey
correfpondent,correspondent
pofible,possible
bannifter,bannister
swedifh,swedish
palfion,passion
necefrary,necessary
parifian,parisian
legiflature,legislature
richardfon,richardson
againift,against
ceafe,cease
flatements,statements
tuefday,Tuesday
conflantine,constantine
afiembly,assembly
himifelf,himself
bofton,boston
newcaftle,newcastle
inflituted,instituted
illufirate,illustrate
teftament,testament
wifdom,wisdom
imprefflon,impression
conqueft,conquest
univerfal,universal
hindoftan,hindostan
addreffied,addressed
hoffile,hostile
hillfborough,hillsborough
fenforial,sensorial
refpcet,respect
confideration,consideration
wilfon,wilson
itfeif,itself
baftile,bastile
ittelf,itself
englifhman,englishman
publifled,published
efchylus,eschylus
laftly,lastly
ipfwich,ipswich 
teflament,testament
lancafter,lancaster
progrefi,progress
moorifh,moorish
addrefed,addressed
produffion,production
interefis,interests
crufoe,crusoe
progrefs,progress
propofals,proposals
worcefler,worcester
enfign,ensign
becaufe,because
difcourfe,discourse
conifitution,constitution
chriffians,christians
themfcives,themselves
louifa,louisa
parifians,parisians
baptift,baptist
gofpcl,gospel
firft,first
himftlf,himself
necelfity,necessity
shakefpeare,shakespeare
difeafe,disease
neceftary,necessary
anfiwer,answer
auftrians,austrians
warfaw,warsaw
blefs,bless
bleft,blest
suflex,sussex
underfianding,understanding
fatisfafion,satisfaction
produffive,productive
proteflant,protestant
frcnch,french
affeaionate,affectionate
fefflon,session
dorfet,dorset
macpherfon,macpherson
refearches,researches
claflic,classic
arife,arise
chemiftry,chemistry
utmofi,utmost
efpeciallv,especially
fometirnes,sometimes
marfhal,marshal
jerfey,jersey
lifbon,lisbon
fic,sic
refolution,resolution
ditferent,different
jefuit,jesuit
confcfs,confess
phyficians,physicians
fomnetimes,sometimes
likewvife,likewise
treatife,treatise
ofwald,oswald
obfervations,observations
succefs,success
thertfore,therefore
chriflianity,christianity
middlefex,middlesex
profeflbr,professor
ghoft,ghost
luppofed,supposed
princefs,princess
interefing,interesting
muft,must
commifflon,commission
